Name;Description;Stature;Leaf_tip_color;Bean_size;Optimal_Altitude_1;Optimal_Altitude_2;Optimal_Altitude_3;Quality_potential;Yield_potential;Coffee_leaf_rust;CBD;Nematodes;Year_First_Production;Nutrition_Requirement;Ripening_of_Fruit;CTGB;Planting_Density;Additional; Lineage;Genetic Description;History;Breeder;Intellectual_Property_Rights;Image
Centroamericano;Very high yielding with very good quality potential. Well-adapted for agroforestry.;Dwarf/Compact;Green;Large;>1000m;>700m;>400m;Very Good;Very High;Resistant;Tolerant;Susceptible;Year Two;Very High;Average;Very High;3000-4000 (using single stem pruning);Requires careful nutrition for roots to become established, avoiding too much nitrogen (N). An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.;T5296  x Rume Sudan;F1 Hybrid (Introgressed);"A first-generation (F1) hybrid originating from a cross between rust-resistant T5296 and the Ethiopian landrace variety Rume Sudan. Centroamericano is resistant to coffee leaf rust, is extremely high yielding (in breeding evaluations, it showed production increases of 22–47% over the standard varieties in Central America). Centroamericano has also proven to have exceptional cup quality potential when well-managed at high altitudes.   It was released in 2010 for farmers in Central America.
The variety was created by a consortium including French research institute CIRAD, a regional network of national coffee institutes in Central America (PROMECAFE), and a coffee genebank in Costa Rica (CATIE). F1 hybrids in Central America  are part of an effort by breeders to increase the genetic diversity of varieties in the region since the traditional American varieties are severely genetically constricted. 
Typically, F1 hybrid parents are chosen to be  genetically distant from one another; this distance maximizes hybrid vigor, which translates into high yields and overall vigor (for example, tolerance to frost), without losses in cup quality or disease resistance. There are only a handful of F1 hybrid coffee varieties in the world, most developed in the last 10 years, and only recently commercially available to farmers.";CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE;"This plant is in the public domain in Costa Rica, El Salvador, Guatemala and Honduras; outside of these countries, permission should be requested from PROMECAFE.";https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/dscf9322-640x427-q50.jpg
Costa Rica 95;High yielding variety adapted to warmest zones and acidic soils.;Dwarf/Compact;Bronze;Average;1000-1600m;700-1300m;400-1000m;Low;High;Susceptible;Susceptible;Susceptible;Year Three;High;Average;Average;5000-6000 a/ha  (using single-stem pruning);Recently, Costa Rica 95 has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Costa Rica and maybe possibly also be susceptible in other areas of Central America. Susceptible to Ojo de Gallo. Recommended for acidic soils and soils rich in aluminum. Recommended for warmest zones.;Timor Hybrid 832/1 x Caturra;Introgressed (Catimor);"A cross between Timor Hybrid 832/1 and Caturra. Pedigree selection (selection of individual plants through successive generations) made by the Instituto del Café de Costa Rica (ICAFE).
For more background on the history of the Catimor group of coffees, see T8667.";Instituto del Café de Costa Rica (ICAFE);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/img_20160215_065543-640x1140-q50.jpg
Cuscatleco;Well-adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.;Dwarf/Compact;Green;Large;1000-1600m;700-1300m;400-1000m;Good;Good;Resistant;Unknown;Resistant;Year Three;High;Average;High;5000-6000 a/ha  (using single-stem pruning);Nematode resistance: Not resistant to Pratylenchus spp. It is resistant to Meloidogyne exigua.;Selection of T5296;Introgressed (Sarchimor);"Pedigree selection of T5296 made by Fundación Salvadoreña para Investigaciones en Café (PROCAFÉ)  in El Salvador.
For more background on the history of the Sarchimor group of coffees, see T5296.";Fundación Salvadoreña para Investigaciones del Café  (PROCAFÉ);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/cuscatleco_1-640x427-q50.jpg
Evaluna;Very high yielding variety  at elevations at high altitudes.;Dwarf/Compact;Light Bronze;Large;>1600m;>1300m;>1000m;Very Good;High;Susceptible;Tolerant;Susceptible;Year Two;High;Average;Very High;4000-5000 a/ha  (using single-stem pruning);"May have difficulty establishing roots in the first two years. Requires careful nutrition for the roots to become properly established; avoid excess of nitrogen. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.";"Naryelis (Catimor) x Ethiopian landrace accession ""ET06"" (CATIE collection)";F1 Hybrid (Introgressed);"A first-generation (F1) hybrid originating from a cross between rust-resistant Naryelis (a Catimor-type variety) and an Ethiopian landrace from the CATIE coffee germplasm collection (accession ET06). 
The variety was created by a consortium including French research institute CIRAD, a regional network of national coffee institutes in Central America (PROMECAFE), and CATIE. It was selected and released in 2010. F1 hybrids in Central America  are part of an effort by breeders to increase the genetic diversity of varieties in the region since the traditional American varieties are severely genetically constricted. 
Typically, F1 hybrid parents are chosen to be  genetically distant from one another; this distance maximizes hybrid vigor, which translates into high yields and overall vigor (for example, tolerance to frost), without losses in cup quality or disease resistance. There are only a handful of F1 hybrid coffee varieties in the world, most developed in the last 10 years, and only recently commercially available to farmers.";CIRAD-ECOM;Registration in the International Union for the Protection of New Varieties of Plants (UPOV) is currently in process.;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
Fronton;Early production and high yielding plant resistant to coffee leaf rust.  Well-adapted to low and medium altitudes. Found primarily in Puerto Rico.;Dwarf/Compact;Green or Bronze;Average;1000-1600m;700-1300m;400-1000m;Good;Good;Resistant;Unknown;Unknown;Year Two;High;Average;High;3000-4000 (using single stem pruning);"Variety not homogeneous; presents a non-specified amount of segregation in the field. Susceptible to coffee leaf miner.";Timor Hybrid x Caturra;Introgressed (Catimor);"A cross between Timor Hybrid and Caturra introduced to Puerto Rico from the Instituto Agronomico de Campinas (IAC) in Brazil. Selection made by the Estación Experimental Agrícola en Adjuntas in Puerto Rico. 
For more background on the history of the Catimor group of coffees, see T8667.";None.;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/plant.png
Geisha (Panama);"Panamanian Geisha has exceptionally high quality at high altitudes. The term ""Geisha"" is often applied to other coffees that do not share the distinct genetics of Panamanian Geisha. Geisha is also cultivated widely in Malawi.";Tall;Green or Bronze;Average;>1600m;>1300m;>1000m;Exceptional;Medium;Tolerant;Susceptible;Susceptible;Year Four;Medium;Average;Average;3000-4000 (using single stem pruning);;;Ethiopian Landrace;"This variety was originally collected from coffee forests in Ethiopia in the 1930s. From there, it was sent to the Lyamungu research station in Tanzania, and then brought to Centro Agronómico Tropical de Investigación y Enseñanza (CATIE) in Central America in the 1953, where it was logged as accession T2722. It was distributed throughout Panama via CATIE in the 1960s after it had been recognized for tolerance to coffee leaf rust. However, the plant's branches were brittle and not favored by farmers so it was not widely planted. The coffee came to prominence in 2005 when the Peterson family of Boquete, Panama, entered it into the ""Best of Panama"" competition and auction. It received exceptionally high marks and broke the then-record for green coffee auction prices, selling for over $20/pound.
There is significant confusion about Geisha because there are multiple genetically distinct plant types that have been referred to as Geisha, many of which share similar geographic origins in Ethiopia. Recent genetic diversity analyses conducted by World Coffee Research confirm that Panamanian Geisha descendent from T2722 is distinct and uniform. It is associated with extremely high cup quality when the plants are managed well at high altitude, and is known for its delicate floral, jasmine, and peach-like aromas.
The spellings Geisha and Gesha are often used interchangeably, relating to the fact that there is no set translation from the dialects of Ethiopia to English. The coffee was first recorded in germplasm records with the spelling “Geisha,” and coffee researchers and germplasm banks have mostly maintained that spelling over many decades, leading that spelling to be promoted and used first in the coffee industry. The coffee was originally collected in Ethiopia in a region close to a mountain whose name is most commonly rendered in English as Gesha. Consequently, many in the coffee industry have preferred to rescue that spelling.";None;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/img_2770-640x960-q50.jpg
H3;High yielding variety, with very good quality at elevations above 1300 meters.;Dwarf/Compact;Green;Large;>1600m;>1300m;>1000m;Very Good;High;Susceptible;Susceptible;Susceptible;Year Three;High;Average;Very High;3000-4000 (using single stem pruning);Stature is intermediate between dwarf and tall. An important note about F1 hybrids: Seeds taken from hybrid plants will not have the same characteristics as the parent plants. This is called “segregation.” It means that the child plant will not look or behave the same as the parent, with potential losses of yield, disease resistance, quality, or other agronomic performance traits. The variety should only be reproduced through clonal propagation and purchased from trusted nurseries.;"Caturra x  Ethiopian landrace accession ""E531'' (CATIE collection)";F1 Hybrid (Not Introgressed);"A first-generation (F1) hybrid originating from a cross between Caturra and an Ethiopian landrace from the CATIE collection (accession E531). 
The variety was part of the first wave of F1 hybrid varieties created  by a consortium including French research institute CIRAD, a regional network of national coffee institutes in Central America (PROMECAFE), and CATIE. H3 was not part of the final round of selection after 2000 because it showed some susceptibility to rust. However, the cup quality was exceptional and some farmers in the region involved in early tests opted to continue to cultivate  the variety. 
F1 hybrids in Central America  are part of an effort by breeders to increase the genetic diversity of varieties in the region since the traditional American varieties are severely genetically constricted. 
Typically, F1 hybrid parents are chosen to be  genetically distant from one another; this distance maximizes hybrid vigor, which translates into high yields and overall vigor (for example, tolerance to frost), without losses in cup quality or disease resistance. There are only a handful of F1 hybrid coffee varieties in the world, most developed in the last 10 years, and only recently commercially available to farmers.";CIRAD-CATIE-ICAFE-IHCAFE-PROCAFE-ANACAFE;"This plant is in the public domain in Costa Rica, El Salvador, Guatemala and Honduras; outside of these countries, permission should be requested from PROMECAFE.";https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/dscf9429-640x427-q50.jpg
Harrar Rwanda;High yielding with very good cup quality potential, but susceptible to the major diseases and prone to die back. This is the Harar variety sometimes found in Rwanda (no longer recommended by Rwandan coffee authorities because of its short productive life).;Tall;Dark Bronze;Average;>1200m;>900m;>700m;Very Good;High;Susceptible;Susceptible;Unknown;Year Two;Medium;Average;Average;2000-3000 a/ha (using multiple-stem pruning);Many varieties or populations share the name Harar, but are not necessarily the same. This is the Harar variety sometimes found in Rwanda. It is no longer recommended by the Rwandan coffee authorities because of its short productive life.;Typica-like genetic background, introduced to Rwanda in 1956.;Bourbon-Typica Group (Typica-related);"Harrar was introduced to the Rubona Research Station Rwanda from Mulungu in the Democratic Republic of Congo in 1956. It has performed very well in different variety trials and was finally released in 2003. 
Many varieties or populations share the name Harar, but not all varieties called ""Harar"" are the same. The Harar found in Rwanda has been confirmed by recent genetic tests to belong  to the Typica genetic group.";Rwanda Agricultural Board (RAB);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/harar-rwanda-607x1080-q50.jpg
IAPAR 59;High yielding plant adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.;Dwarf/Compact;Light Bronze;Average;1000-1600m;700-1300m;400-1000m;Low;Good;Resistant;Susceptible;Resistant;Year Three;High;Average;High;5000-6000 a/ha  (using single-stem pruning);Nematodes: Not resistant to Pratylenchus spp.  It is resistant to Meloidogyne exigua.;Timor Hybrid 832/2 x Villa Sarchi;Introgressed (Sarchimor);"A cross between Timor Hybrid 832/2 and Villa Sarchi. Pedigree selection made by Instituto Agronômico do Paraná (IAPAR), Brazil.
For more background on the history of the Sarchimor group of coffees, see T5296.";Instituto Agronômico do Paraná (IAPAR), Brazil;This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/dscf9527-640x427-q50.jpg
IHCAFE 90;High yielding plant adapted to lowest altitudes. Requires high fertilization.;Dwarf/Compact;Dark Bronze;Average;1000-1600m;700-1300m;400-1000m;Very Low;High;Susceptible;Susceptible;Susceptible;Year Two;Very High;Average;Low;4000-5000 a/ha  (using single-stem pruning);Recently, IHCAFE 90 has been confirmed through scientific evaluation to be susceptible to coffee leaf rust in Honduras and maybe possibly also be susceptible in other areas of Central America. Highly susceptible to Ojo de Gallo.;Timor Hybrid 832/1 x Caturra;Introgressed (Catimor);"A cross between Timor Hybrid 832/1 and Caturra. Pedigree selection made by Instituto Hondureño del Café (IHCAFE). Highly similar to T5175.
For more background on the history of the Catimor group of coffees, see T8667.";Instituto Hondureño del Café (IHCAFE);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/sweetmarias-ihcafe-90-variety-in-honduras-2-640x427-q50.jpg
Jackson 2/1257;Very vigorous and highly productive. Found commonly in Rwanda and Burundi.;Tall;Bronze;Large;>1200m;>900m;>700m;Good;High;Susceptible;Susceptible;Unknown;Year Three;Medium;Unknown;Average;1000-2000 a/ha (using multiple-stem pruning);;A selection of Jackson. Bourbon-like genetic background.;Bourbon-Typica Group (Bourbon-related);"Mr. Jackson was a coffee farmer in Mysore, India in the early 1900s who discovered trees on his farm tolerant to coffee leaf rust (that tolerance has since been lost and the variety is considered susceptible to rust). Seedlings from these trees were sent to research stations in both Kenya and Tanzania in the 1920s. These original trees gave rise to the Jackson variety now commonly found in Rwanda.  (It is not well referenced how Jackson got from Kenya to Rwanda; documents indicate it may have come via the germplasm collection at Mulungu in the Democratic Republic of Congo established in the 1930s, or been brought by Kenyan settler farmers in the 1940s.) 
The varieties known as Jackson, Kent, Coorg, and Mysore—all originating from the same region in India—are most likely late descendant of the first coffee seeds out of Yemen brought to India by Baba Budan in 1670. Recent genetic tests have confirmed that Jackson is related to the Bourbon genetic group.";Rwanda Agricultural Board (RAB);This plant is in the public domain;https://raw.githubusercontent.com/iricondoi/WebScraping_coffee_varieties/main/imagenes/jackson-607x1080-q50.jpg
